equipment_id,date,reading_type,value,unit,notes
PUMP-104,2026-08-01,pressure,142,psi,within normal range
PUMP-104,2026-08-15,pressure,168,psi,approaching upper threshold of 175 psi
PUMP-104,2026-08-29,pressure,181,psi,exceeded threshold - flagged for inspection
VALVE-27,2026-08-05,temperature,88,C,normal operating temperature
VALVE-27,2026-08-20,temperature,101,C,elevated - lubrication check recommended
HX-11,2026-08-10,vibration,2.1,mm/s,baseline
HX-11,2026-08-24,vibration,4.8,mm/s,above ISO 10816 zone B threshold
TANK-03,2026-08-12,level,76,percent,normal
COMPRESSOR-2,2026-08-18,temperature,95,C,normal
COMPRESSOR-2,2026-09-01,temperature,112,C,high - scheduled for maintenance window
